ticker,bucket,observed_delist_date,crsp_code,dlret,reason,exchange,last_trade_close,payout_per_share,stock_ratio,acquirer_price,acquirer_ticker,recovery_ratio,terminal_value,dlret_method,dlret_confidence,payout_source
ATH,exchange_transfer,2021-12-31,304,0.000000,Continued 10-K/Q filings >180d after delist (moved to OTC or spun off),nyse,83.330000,,,,,,,exchange_transfer_zero,high,
ATHL,compliance_failure,2014-11-13,570,-0.300000,"Compliance failure (3.01 alone, no M&A indicators)",nyse,58.400000,,,,,,,shumway_nyse_amex,medium,
ATHN,merger,2019-02-11,231,0.000074,M&A 2.01+3.01+5.01 (acquired by external acquirer),nasdaq,134.990000,135.000000,,,,,135.000000,cash_only,medium,8K_1.01
ATML,merger,2016-04-12,231,0.000579,M&A 2.01+3.01+5.01 (acquired by external acquirer),nasdaq,8.140000,7.000000,0.023700,48.300000,MCHP,,8.144710,cash_plus_stock,medium,8K_2.01
ATVI,merger,2023-10-13,231,0.006143,M&A 2.01+3.01+5.01 (acquired by external acquirer),nasdaq,94.420000,95.000000,,,,,95.000000,cash_only,high,8K_2.01
ATW,merger,2017-10-19,231,,M&A 2.01+3.01+5.01 (acquired by external acquirer),nyse,9.140000,,,,,,,abstain_no_consideration,low,
AVLR,merger,2022-10-28,231,0.000214,M&A 2.01+3.01+5.01 (acquired by external acquirer),nyse,93.480000,93.500000,,,,,93.500000,cash_only,medium,8K_1.01
AVP,exchange_transfer,2020-01-03,304,0.000000,Continued 10-K/Q filings >180d after delist (moved to OTC or spun off),nyse,5.600000,,,,,,,exchange_transfer_zero,high,
AWH,merger,2017-08-28,231,-0.532900,M&A 2.01+3.01+5.01 (acquired by external acquirer),nyse,49.240000,23.000000,,,,,23.000000,cash_only,high,8K_2.01
AYE,compliance_failure,2011-11-30,570,-0.300000,"Compliance failure (3.01 alone, no M&A indicators)",nyse,24.990000,,,,,,,shumway_nyse_amex,medium,
