sec_id,delist_date,ticker,payout_per_share,confidence,source,accession
BBG000FF9HX6,2016-02-01,UTIW,7.100000,medium,8K_1.01,0000950157-15-001175
BBG000FG3C43,2016-05-22,SNDK,,none,none,
BBG000FH8PX5,2020-05-21,AGN,,none,none,
BBG000FHN2M1,2007-12-14,CKFR,48.000000,medium,8K_1.01,0000898822-07-000997
BBG000FHZ756,2011-06-11,PDE,,none,none,
BBG000FJLFX8,2018-12-09,AET,,none,none,
BBG000FJP263,2011-03-10,AYE,,none,none,
BBG000FKYVH4,2016-12-09,LXK,40.500000,high,8K_2.01,0001193125-16-779017
BBG000FL1TC8,2015-08-03,DTV,,none,none,
BBG000FQ6PY6,2022-10-10,CTXS,104.000000,high,8K_2.01,0001193125-22-256805
BBG000FRBSS9,2008-12-19,WB,,none,none,
BBG000FRJVJ4,2011-07-11,FTO,,none,none,
BBG000FRVFM1,2011-12-15,PPDI,33.250000,high,8K_2.01,0001193125-11-330317
BBG000FVQ434,2016-07-23,IHS,,none,none,
BBG000FYNMX8,2011-05-26,WL,,none,none,
BBG000G0PPW3,2016-12-11,AMSG,,none,none,
BBG000G30YX4,2021-07-31,ALXN,,none,none,
BBG000G5H5S0,2012-03-23,CEG,,none,none,
BBG000G61VB6,2007-07-23,BOT,,none,none,
BBG000G6BN50,2017-07-28,PNRA,,none,none,
BBG000G7QX50,2025-12-05,PINC,28.250000,high,8K_2.01,0001193125-25-294735
BBG000G8N9C6,2025-05-31,JWN,24.250000,high,8K_2.01,0001104659-25-050982
BBG000GC80B4,2015-02-09,COV,,none,none,
BBG000GLBN48,2013-10-11,ONXX,125.000000,medium,8K_1.01,0001193125-13-387156
BBG000GMDMK8,2020-01-09,GWR,112.000000,high,8K_2.01,0001193125-19-325513
